nom_standard,densite
Varennes-Jarcy,414.0
Vaugrigneuse,230.0
Vauhallan,622.0
Vayres-sur-Essonne,115.0
Verrières-le-Buisson,1461.0
Vert-le-Grand,140.0
Vert-le-Petit,402.0
Videlles,67.0
Vigneux-sur-Seine,3462.0
Villabé,1166.0
Villebon-sur-Yvette,1378.0
Villeconin,52.0
La Ville-du-Bois,2276.0
Villejust,466.0
Villemoisson-sur-Orge,3069.0
Villeneuve-sur-Auvers,84.0
Villiers-le-Bâcle,180.0
Villiers-sur-Orge,2575.0
Viry-Châtillon,5048.0
Wissous,767.0
Yerres,2887.0
Les Ulis,4651.0
Antony,6614.0
Asnières-sur-Seine,18602.0
Bagneux,10454.0
Bois-Colombes,15422.0
Boulogne-Billancourt,19481.0
Bourg-la-Reine,11188.0
Châtenay-Malabry,5478.0
Châtillon,12552.0
Chaville,5600.0
Clamart,6220.0
Clichy,21055.0
Colombes,11423.0
Courbevoie,19595.0
Fontenay-aux-Roses,9791.0
Garches,6604.0
La Garenne-Colombes,16816.0
Gennevilliers,4248.0
Issy-les-Moulineaux,16175.0
Levallois-Perret,28220.0
Malakoff,14634.0
Marnes-la-Coquette,501.0
Meudon,4657.0
Montrouge,23023.0
Nanterre,7960.0
Neuilly-sur-Seine,15975.0
Le Plessis-Robinson,8571.0
Puteaux,13733.0
Rueil-Malmaison,5381.0
Saint-Cloud,3958.0
Sceaux,5691.0
Sèvres,5770.0
Suresnes,12956.0
Vanves,18074.0
Vaucresson,2772.0
Ville-d'Avray,2898.0
Villeneuve-la-Garenne,7953.0
Aubervilliers,15610.0
Aulnay-sous-Bois,5337.0
Bagnolet,15318.0
Le Blanc-Mesnil,7175.0
Bobigny,8169.0
Bondy,9672.0
Le Bourget,7306.0
Clichy-sous-Bois,7528.0
Coubron,1208.0
La Courneuve,6288.0
Drancy,9173.0
Dugny,2920.0
Épinay-sur-Seine,11653.0
Gagny,5749.0
Gournay-sur-Marne,4146.0
L'Île-Saint-Denis,4979.0
Les Lilas,18775.0
Livry-Gargan,6254.0
Montfermeil,5172.0
Montreuil,12523.0
Neuilly-Plaisance,6280.0
Neuilly-sur-Marne,5385.0
Noisy-le-Grand,5397.0
Noisy-le-Sec,9164.0
Pantin,12063.0
Les Pavillons-sous-Bois,8247.0
Pierrefitte-sur-Seine,9385.0
